
D:\Massey,University\2020\159302,-,Artificial,Intelligence\MasseyAI2020\Assignment,1,Inator\program>cls
===================================================================================================================================================================================
                                              SEARCH ALGORITHMS  
                                                 2020 version
===================================================================================================================================================================================
NUM ALGORITHM                  INIT_STATE  GOAL_STATE   PATH_LENGTH	STATE_EXPANSIONS    MAX_QLENGTH	 RUNNING_TIME  DELETIONS_MIDDLE_HEAP LOCAL_LOOPS_AVOIDED ATTEMPTED_REEXPANSIONS COMMENTS
===================================================================================================================================================================================
1) pds_visited_list,608435127,123456780,23,35821,22,0.095000,0,0
1) pds_visited_list,743286051,123456780,20,34774,19,0.095000,0,0
1) pds_visited_list,647850321,123456780,39,441091,35,1.186000,0,0
1) pds_visited_list,185024367,123456780,29,245743,27,0.795000,0,0
1) pds_visited_list,867254301,123456780,33,356069,31,1.337000,0,0
2),pds_nonstrict_visited_list,608435127,123456780,23,377023,22,1.174000,0,0
2),pds_nonstrict_visited_list,743286051,123456780,20,127186,18,0.348000,0,0
2),pds_nonstrict_visited_list,647850321,123456780,31,3933497,28,11.622000,0,0
2),pds_nonstrict_visited_list,185024367,123456780,29,2448448,25,6.488000,0,0
2),pds_nonstrict_visited_list,867254301,123456780,31,3633577,27,10.289000,0,0
3),best_first_no_visited_list,608435127,123456780,59,1144,824,0.164000,0,0
3),best_first_no_visited_list,743286051,123456780,48,116,87,0.006000,0,0
3),best_first_no_visited_list,647850321,123456780,53,103,70,0.008000,0,0
3),best_first_no_visited_list,185024367,123456780,93,675,493,0.095000,0,0
3),best_first_no_visited_list,867254301,123456780,47,75,51,0.004000,0,0
4),best_first_visited_list,608435127,123456780,59,300,220,0.001000,0,0
4),best_first_visited_list,743286051,123456780,40,90,64,0.001000,0,0
4),best_first_visited_list,647850321,123456780,63,110,74,0.001000,0,0
4),best_first_visited_list,185024367,123456780,113,378,271,0.004000,0,0
4),best_first_visited_list,867254301,123456780,47,80,49,0.001000,0,0
6),astar_explist_manhattan,608435127,123456780,25,1442,851,0.065000,0,0
6),astar_explist_manhattan,743286051,123456780,20,319,205,0.007000,0,0
6),astar_explist_manhattan,647850321,123456780,31,9150,5251,1.372000,0,0
6),astar_explist_manhattan,185024367,123456780,29,4288,2560,0.252000,0,0
6),astar_explist_manhattan,867254301,123456780,31,10144,5525,2.278000,0,0
5),astar_explist_misplacedtiles,608435127,123456780,23,19118,10147,8.536000,0,0
5),astar_explist_misplacedtiles,743286051,123456780,20,2596,1626,0.167000,0,0
5),astar_explist_misplacedtiles,647850321,123456780,31,113202,30266,562.796021,0,0
5),astar_explist_misplacedtiles,185024367,123456780,29,73237,26285,220.923996,0,0
5),astar_explist_misplacedtiles,867254301,123456780,31,110829,30386,581.728027,0,0
nothing,follows.
