===================================================================================================================================================================================											
	SEARCH	ALGORITHMS									
	2020	version									
===================================================================================================================================================================================											
NUM	ALGORITHM	INIT_STATE	GOAL_STATE	PATH_LENGTH	STATE_EXPANSIONS	MAX_QLENGTH	RUNNING_TIME	DELETIONS_MIDDLE_HEAP	LOCAL_LOOPS_AVOIDED	ATTEMPTED_REEXPANSIONS	COMMENTS
===================================================================================================================================================================================											
1)	pds_visited_list	608435127	123456780	21	85	115	0	0	0		
1)	pds_visited_list	743286051	123456780	21	85	115	0	0	0		
1)	pds_visited_list	647850321	123456780	21	85	115	0	0	0		
1)	pds_visited_list	185024367	123456780	21	85	115	0	0	0		
1)	pds_visited_list	867254301	123456780	21	85	115	0	0	0		
2)	pds_nonstrict_visited_list	608435127	123456780	21	85	115	0	0	0		
2)	pds_nonstrict_visited_list	743286051	123456780	21	85	115	0	0	0		
2)	pds_nonstrict_visited_list	647850321	123456780	21	85	115	0	0	0		
2)	pds_nonstrict_visited_list	185024367	123456780	21	85	115	0	0	0		
2)	pds_nonstrict_visited_list	867254301	123456780	21	85	115	0	0	0		
3)	best_first_no_visited_list	608435127	123456780	21	85	715	0	0	0		
3)	best_first_no_visited_list	743286051	123456780	21	34	718	0	0	0		
3)	best_first_no_visited_list	647850321	123456780	21	34	718	0	0	0		
3)	best_first_no_visited_list	185024367	123456780	21	34	718	0	0	0		
3)	best_first_no_visited_list	867254301	123456780	21	34	718	0	0	0		
4)	best_first_visited_list	608435127	123456780	21	34	718	0	0	0		
4)	best_first_visited_list	743286051	123456780	21	34	718	0	0	0		
4)	best_first_visited_list	647850321	123456780	21	34	718	0	0	0		
4)	best_first_visited_list	185024367	123456780	21	34	718	0	0	0		
4)	best_first_visited_list	867254301	123456780	21	34	718	0	0	0		
6)	astar_explist_manhattan	608435127	123456780	21	34	118	0	0	0		
6)	astar_explist_manhattan	743286051	123456780	21	34	118	0	0	0		
6)	astar_explist_manhattan	647850321	123456780	21	34	118	0	0	0		
6)	astar_explist_manhattan	185024367	123456780	21	34	118	0	0	0		
6)	astar_explist_manhattan	867254301	123456780	21	34	118	0	0	0		
5)	astar_explist_misplacedtiles	608435127	123456780	21	34	118	0	0	0		
5)	astar_explist_misplacedtiles	743286051	123456780	21	34	118	0	0	0		
5)	astar_explist_misplacedtiles	647850321	123456780	21	34	118	0	0	0		
5)	astar_explist_misplacedtiles	185024367	123456780	21	34	118	0	0	0		
5)	astar_explist_misplacedtiles	867254301	123456780	21	34	118	0	0	0		
